city,country,population,lat,lon,temperature,windspeed,winddirection,pm25,pm10,no2,o3
Samut Prakan,Thailand,1393410,13.5949486,100.5966707,29.2,5.2,12.0,36.2,36.4,11.5,261.0
Taizhong,Taiwan,1393190,24.163162,120.6478282,23.1,22.5,6.0,18.9,20.0,43.5,59.0
Lilongwe,Malawi,1393010,-13.9875107,33.768144,24.3,9.4,67.0,3.3,3.4,0.6,50.0
Adelaide,Australia,1392940,-34.9281805,138.5999312,33.2,11.7,189.0,3.3,3.7,3.3,101.0
Qom,Iran,1392280,34.6422939,50.8801184,12.1,8.6,303.0,4.5,6.1,13.9,61.0
Maceio,Brazil,1387920,-9.6476843,-35.7339264,23.8,4.8,27.0,12.5,16.2,3.0,43.0
Freetown,Sierra Leone,1387360,8.479004,-13.26795,27.0,2.5,278.0,21.3,42.4,2.5,65.0
Yingkou,China,1385370,40.6747155,122.2357736,-5.8,13.7,35.0,129.5,130.9,63.2,0.0
Tanger,Morocco,1381230,35.7625681,-5.8295062,10.1,3.1,144.0,9.8,16.3,14.7,31.0
Aligarh,India,1379560,27.8815412,78.0690216,22.5,4.7,293.0,75.9,77.5,5.9,207.0
Ad-Dammam,Saudi Arabia,1375600,26.4367824,50.1039991,24.0,12.8,310.0,36.7,82.9,23.8,74.0
Abomey-Calavi,Benin,1375220,6.4538637,2.354245,28.0,4.1,218.0,10.4,22.7,3.1,74.0
Joinville,Brazil,1374630,-26.3044898,-48.8486726,20.5,6.0,303.0,13.5,14.4,10.7,16.0
Moradabad,India,1369880,28.8334982,78.7732864,22.2,2.5,188.0,96.4,97.3,3.7,225.0
Bukavu,DR Congo,1369430,-2.5055839,28.8594885,17.5,4.4,279.0,7.6,7.7,0.4,76.0
Pekan Baru,Indonesia,1364640,0.5262455,101.4515727,29.8,4.5,346.0,14.2,14.6,2.0,71.0
Maoming,China,1361880,21.6656961,110.9209511,24.4,17.8,126.0,18.6,19.8,4.1,130.0
Nnewi,Nigeria,1361840,6.019531,6.917181,27.5,7.0,201.0,32.4,45.5,4.3,64.0
Jieyang,China,1354930,23.553156,116.3680354,22.6,15.5,93.0,30.0,31.1,9.3,119.0
Helsinki,Finland,1354890,60.1666204,24.9435408,-0.7,22.3,22.0,1.7,2.7,6.4,58.0
Astana,Kazakhstan,1352560,51.1282205,71.4306682,-4.6,16.1,170.0,8.4,9.6,7.5,80.0
Bujumbura,Burundi,1350150,-3.3638125,29.3675028,26.5,2.5,278.0,14.9,15.0,0.7,86.0
Mysore,India,1345720,12.3051828,76.6553609,27.5,16.7,71.0,28.0,29.6,1.5,158.0
Ruian,China,1344890,27.7809047,120.6512652,16.5,11.0,71.0,12.3,15.8,6.2,99.0
Fes,Morocco,1336960,34.0346534,-5.0161926,6.5,1.0,45.0,9.5,12.0,18.0,17.0
Porto,Portugal,1334200,41.1502195,-8.6103497,11.3,8.8,161.0,6.6,9.9,20.4,56.0
Prague,Czechia,1331940,50.0874654,14.4212535,0.8,5.4,200.0,15.9,19.0,31.8,23.0
Dallas,United States,1331752,32.7762719,-96.7968559,8.5,8.4,110.0,6.0,6.2,15.9,45.0
Port Elizabeth,South Africa,1330500,-33.9618598,25.6186731,21.8,9.2,219.0,6.8,9.1,3.1,67.0
Jinhua,China,1329990,29.1080344,119.6486487,16.1,13.7,76.0,21.2,22.9,11.9,94.0
Kigali,Rwanda,1329830,-1.950851,30.061507,20.8,1.5,135.0,14.6,15.0,0.8,92.0
Ahvaz,Iran,1324800,31.2462916,48.7597528,15.6,4.7,351.0,26.8,41.8,14.0,72.0
Florianopolis,Brazil,1323850,-27.5973002,-48.5496098,17.2,5.4,274.0,8.6,10.3,6.0,57.0
Bhubaneswar,India,1320910,20.2602964,85.8394521,27.4,5.5,11.0,57.9,61.7,0.6,200.0
Baoji,China,1317340,34.3609713,107.2322378,7.1,5.8,22.0,7.5,10.7,4.4,78.0
San Luis Potosi,Mexico,1310720,22.1516472,-100.9763993,11.6,6.6,225.0,11.2,11.3,23.4,34.0
Liupanshui,China,1309840,26.5963778,104.8279652,17.8,7.6,172.0,23.2,23.3,6.4,127.0
Puning,China,1309420,23.3000453,116.160937,22.7,15.6,82.0,31.2,32.1,8.2,129.0
Chifeng,China,1305090,42.2811677,118.9426564,-6.3,5.0,111.0,18.2,18.9,26.7,30.0
Islamabad,Pakistan,1301130,33.6938118,73.0651511,21.6,7.3,290.0,25.0,27.7,20.7,136.0
Kazan,Russia,1299580,55.7946485,49.1115022,-0.4,9.8,204.0,2.1,2.1,5.4,43.0
Zhuzhou,China,1299480,27.830618,113.1283685,13.6,18.5,339.0,99.9,100.1,51.6,34.0
Zhenjiang Jiangsu,China,1299130,32.1272072,119.4796218,10.5,17.7,77.0,13.3,15.6,21.0,59.0
Dublin,Ireland,1299110,53.3493795,-6.2605593,7.7,7.6,161.0,4.7,10.3,25.0,49.0
Tasikmalaya,Indonesia,1297900,-7.3262484,108.2201154,28.2,12.8,191.0,10.0,11.8,0.6,60.0
Huaibei,China,1291440,33.9566098,116.7928916,3.5,19.2,38.0,32.8,33.9,34.3,22.0
Xiongan,China,1288560,39.0480479,115.9075331,-1.1,3.1,144.0,28.9,31.2,34.6,29.0
Sofia,Bulgaria,1286460,42.6977028,23.3217359,6.4,11.9,268.0,25.7,30.0,13.1,51.0
Da Nang,Vietnam,1286000,16.068,108.212,23.3,6.6,99.0,19.2,25.9,3.7,117.0
Pizhou,China,1282270,34.3402702,118.0068173,3.6,18.4,51.0,20.4,22.2,20.4,37.0
Barquisimeto,Venezuela,1281730,10.0774374,-69.3222293,22.6,7.6,65.0,9.6,10.0,8.0,38.0
Bogor,Indonesia,1281010,-6.5962986,106.7972421,29.1,2.9,120.0,24.9,26.1,10.6,126.0
Luohe,China,1278770,33.571189,114.0289356,-0.2,18.8,5.0,28.9,30.5,33.2,26.0
Aba,Nigeria,1274780,5.1128008,7.3651376,28.1,5.5,169.0,29.3,47.7,7.4,61.0
Maracay,Venezuela,1270320,10.2375144,-67.5890216,25.4,5.0,21.0,11.1,11.9,14.0,17.0
Tiruchirappalli,India,1269900,10.8071144,78.6880939,28.5,10.6,35.0,37.5,40.2,2.5,140.0
Bazhong,China,1268080,31.8689322,106.7416618,13.6,17.9,34.0,16.3,16.5,10.1,84.0
Chandigarh,India,1266010,30.7334421,76.7797143,21.5,4.0,185.0,44.4,45.5,4.5,206.0
Binzhou,China,1263650,37.3821206,117.9647262,0.5,8.2,67.0,16.2,18.7,17.7,48.0
Jinzhou,China,1260660,41.1087113,121.1186159,-6.6,2.3,108.0,13.1,14.1,24.7,36.0
Kaduna,Nigeria,1259940,10.5182899,7.4359863,25.1,14.4,77.0,87.3,402.3,2.6,74.0
Merida,Mexico,1258230,20.9670759,-89.6237402,19.9,6.7,74.0,6.5,8.6,3.7,65.0
Benxi,China,1258120,41.2921601,123.7593948,-7.3,2.1,329.0,26.8,27.8,52.7,16.0
Mendoza,Argentina,1257180,-32.8894155,-68.8446177,17.0,7.9,270.0,6.0,6.2,11.7,44.0
Quetta,Pakistan,1253110,30.1957677,67.0172447,20.9,2.6,196.0,5.2,10.4,2.1,101.0
Nizhniy Novgorod,Russia,1249760,56.3264816,44.0051395,0.9,9.8,246.0,11.9,13.7,25.4,16.0
Chelyabinsk,Russia,1246210,55.1598408,61.4025547,-7.8,7.5,197.0,16.7,17.9,16.3,44.0
Chiang Mai,Thailand,1244190,18.7882778,98.9858802,27.5,5.2,115.0,14.5,14.6,0.0,151.0
Bobo-Dioulasso,Burkina Faso,1243530,11.1765796,-4.2961436,23.9,3.1,159.0,35.0,114.1,2.7,66.0
Saharanpur,India,1242490,29.9637438,77.5427464,21.1,3.6,174.0,78.2,78.7,2.6,224.0
Guilin,China,1238950,25.2779894,110.2910622,17.1,1.6,27.0,37.1,37.3,15.7,85.0
Hubli-Dharwad,India,1231020,15.4602077,75.0083448,27.8,13.6,79.0,23.2,24.3,1.0,170.0
Maputo,Mozambique,1230070,-25.966213,32.56745,29.5,18.9,347.0,4.3,5.6,0.3,51.0
Yueqing,China,1229960,28.1178498,120.9795761,15.3,8.3,72.0,13.6,16.1,11.9,89.0
Hargeysa,Somalia,1227620,9.561733,44.061803,23.1,20.3,7.0,6.3,8.0,0.1,83.0
Guwahati,India,1224170,26.1805978,91.753943,25.1,10.0,49.0,6.2,6.6,0.3,131.0
Salem,India,1220710,11.6551982,78.1581771,29.7,3.4,72.0,40.0,42.7,2.2,157.0
Mexicali,Mexico,1215000,32.6245314,-115.452604,13.8,8.7,38.0,18.0,19.1,50.8,4.0
Bandar Lampung,Indonesia,1210200,-5.4460713,105.2643742,29.9,6.7,216.0,6.8,8.6,0.5,59.0
Shimkent,Kazakhstan,1203890,42.3146962,69.5883282,9.5,1.5,256.0,42.6,50.5,26.1,35.0
Tripoli,Libya,1203390,32.896672,13.1777923,15.4,3.9,146.0,10.6,12.4,17.7,46.0
Haifa,Israel,1199980,32.8191218,34.9983856,17.2,1.3,124.0,10.7,16.6,12.2,55.0
Ikorodu,Nigeria,1196820,6.6191233,3.5041271,28.4,1.8,191.0,21.2,32.1,6.4,81.0
Aguascalientes,Mexico,1196770,21.880487,-102.2967195,10.9,6.0,327.0,18.6,18.7,33.0,20.0
Siliguri,India,1191400,26.7164127,88.4309916,21.9,8.2,151.0,6.8,9.1,0.0,126.0
Amsterdam,Netherlands,1189200,52.3730796,4.8924534,8.1,13.7,153.0,15.9,19.5,38.3,8.0
Tshikapa,DR Congo,1185920,-6.4230495,20.7887691,27.0,1.8,37.0,14.4,14.5,1.0,57.0
Wenling,China,1184900,28.3761941,121.3808408,15.2,15.4,33.0,10.9,13.7,6.8,90.0
Omsk,Russia,1180820,54.991375,73.371529,-9.6,8.5,168.0,11.4,14.4,8.5,61.0
Xinxiang,China,1180750,35.3021133,113.9202062,-0.4,12.6,53.0,25.2,27.1,28.7,34.0
Krasnoyarsk,Russia,1177840,56.0091173,92.872586,-7.0,14.6,230.0,2.5,3.2,4.4,80.0
Bien Hoa,Vietnam,1174750,10.9507829,106.8221169,32.0,4.2,59.0,12.8,15.0,9.0,108.0
Fuyang,China,1170240,32.8926763,115.8090001,5.2,18.2,9.0,23.6,24.5,15.8,56.0
Zaozhuang,China,1168490,34.8108822,117.3178922,2.5,17.7,51.0,26.2,26.9,27.6,29.0
Jalandhar,India,1167600,31.3323762,75.576889,22.1,4.8,283.0,51.1,52.9,3.0,187.0
Ma'anshan,China,1165590,31.6866105,118.5048377,12.2,18.1,84.0,20.4,22.1,27.1,59.0
Panjin,China,1163590,41.1796147,122.0524321,-7.3,4.6,18.0,39.6,41.0,45.4,18.0
Fuzhou Jiangxi,China,1159940,27.9511188,116.3530413,19.0,9.4,32.0,41.3,42.0,12.9,97.0
Sekondi Takoradi,Ghana,1159780,4.927456,-1.7490216,27.1,5.0,210.0,8.2,14.7,2.8,55.0
Yichun Jiangxi,China,1159390,27.81697,114.4112498,15.9,12.4,73.0,63.6,64.0,30.3,55.0
Yongin,South Korea,1157920,37.2405741,127.1785572,3.2,5.3,62.0,17.4,18.5,53.7,18.0
Cuernavaca,Mexico,1156360,18.9218274,-99.2342282,17.0,6.8,360.0,25.5,25.6,43.5,34.0
Samarinda,Indonesia,1154760,-0.5017804,117.1393089,29.1,6.2,291.0,9.4,9.6,1.3,55.0
Aden,Yemen,1154410,12.789585,45.028504,26.5,14.0,125.0,12.3,18.2,0.5,97.0
Samara,Russia,1153710,53.1956255,50.1014927,-1.2,14.2,204.0,5.2,5.8,6.2,26.0
Shangrao,China,1153600,28.4582821,117.9381305,17.4,24.0,43.0,33.3,34.8,5.5,112.0
Chihuahua,Mexico,1153540,28.6368669,-106.076745,9.1,7.9,273.0,9.1,9.2,33.6,26.0
Cologne,Germany,1153230,50.938361,6.959974,7.6,14.4,137.0,18.8,20.8,33.3,17.0
Asmara,Eritrea,1152180,15.3389667,38.9326763,22.6,9.1,288.0,8.1,11.5,0.3,92.0
Bishkek,Kyrgyzstan,1151220,42.8761424,74.6036724,13.6,8.6,112.0,14.3,16.1,7.4,96.0
Chenzhou,China,1150530,25.7733598,113.0094337,17.0,3.5,24.0,44.0,44.2,10.0,98.0
Zhaoqing,China,1150480,23.0501661,112.4603629,23.0,8.6,105.0,48.8,49.1,34.0,89.0
Ufa,Russia,1148400,54.7261409,55.947499,-5.9,13.7,182.0,8.4,9.9,5.6,51.0
Nyala,Sudan,1145590,12.0505098,24.8795115,24.5,23.2,42.0,41.6,249.6,0.6,66.0
Leshan,China,1142870,29.5851296,103.747791,16.1,6.2,350.0,36.1,36.3,11.9,81.0
Rostov-on-Don,Russia,1140390,47.2222596,39.7198736,4.0,13.2,225.0,5.8,6.8,16.3,40.0
Dezhou,China,1133630,37.4363704,116.3534091,-1.3,7.0,55.0,18.9,21.2,14.4,47.0
San Salvador,El Salvador,1132420,13.697629,-89.191156,19.4,6.0,33.0,10.4,10.5,14.3,17.0
Diyarbakir,Turkey,1128360,37.9162222,40.2363542,9.1,5.6,345.0,16.4,18.4,7.0,55.0
Kirkuk,Iraq,1128190,35.4719308,44.3953896,12.2,17.8,126.0,13.3,18.8,4.1,78.0
Johor Bahru,Malaysia,1127520,1.4581986,103.7649059,29.5,4.7,293.0,10.1,10.3,9.1,95.0
Changshu,China,1123540,31.6572954,120.7480757,10.4,15.3,66.0,14.9,17.6,33.0,52.0
Goyang,South Korea,1121440,37.6581862,126.8319452,3.3,7.1,49.0,27.5,28.8,58.8,13.0
Managua,Nicaragua,1120900,12.1547116,-86.273725,24.3,18.9,76.0,2.3,2.9,1.3,53.0
Kermanshah,Iran,1117360,34.3239414,47.0735891,6.8,2.6,124.0,3.7,6.8,8.2,71.0
Xuchang,China,1117100,34.0392527,113.8461624,-0.4,17.9,15.0,26.5,28.2,28.8,32.0
Oslo,Norway,1115580,59.9133301,10.7389701,3.0,11.5,63.0,12.0,15.9,21.7,7.0
Huzhou,China,1114370,30.8942995,120.0851114,12.1,15.8,78.0,34.1,37.6,60.5,26.0
Solapur,India,1108180,17.6699734,75.9008118,29.1,6.1,93.0,11.9,13.8,0.9,145.0
Cartagena,Colombia,1105540,10.4265566,-75.5441671,28.6,22.9,48.0,6.8,9.7,5.1,49.0
Yerevan,Armenia,1100240,40.1777112,44.5126233,5.9,2.9,240.0,21.2,24.3,18.8,37.0
Ilorin,Nigeria,1099960,8.4963657,4.5480484,24.8,7.9,204.0,35.2,68.7,2.5,97.0
Mersin,Turkey,1099040,36.7978381,34.6298391,15.9,3.3,103.0,8.4,9.7,26.1,32.0
Denpasar,Indonesia,1097310,-8.6524973,115.2191175,28.5,14.2,254.0,12.0,15.4,1.8,74.0
Qujing,China,1092200,25.4936418,103.7943084,17.2,29.7,256.0,7.1,7.9,0.9,119.0
Lille,France,1091590,50.6365654,3.0635282,10.1,12.6,170.0,14.3,17.3,22.0,20.0
Tbilisi,Georgia,1087020,41.6934591,44.8014495,9.8,4.3,355.0,10.8,14.9,12.7,40.0
Guiping,China,1086960,23.3916357,110.074064,19.6,5.5,58.0,47.8,48.2,13.5,81.0
Voronezh,Russia,1086000,51.6605982,39.2005858,3.0,6.5,251.0,14.6,16.9,26.7,9.0
Perm,Russia,1085990,58.0108531,56.2318528,-4.0,10.9,186.0,1.5,1.6,3.5,51.0
Marrakech,Morocco,1085330,31.6258257,-7.9891608,7.1,3.1,126.0,17.3,30.9,18.5,13.0
Aracaju,Brazil,1081930,-10.9162061,-37.0774655,23.5,5.8,22.0,11.9,14.3,5.0,36.0
Warangal,India,1080490,17.9820644,79.5970954,27.1,7.7,11.0,19.7,21.7,1.3,167.0
Toulouse,France,1080180,43.6044638,1.4442433,6.9,3.3,41.0,10.0,16.7,30.5,22.0
Yueyang,China,1079980,29.3594838,113.1229551,10.2,19.8,359.0,71.2,71.7,39.1,58.0
Hamah,Syria,1078650,35.1343368,36.7496276,12.6,6.0,327.0,14.8,17.9,2.1,51.0
Tampico,Mexico,1077740,22.2157619,-97.8577713,21.0,4.3,175.0,5.9,7.8,2.8,67.0
Warri,Nigeria,1076120,5.5186186,5.7480196,27.8,5.6,130.0,21.1,33.3,3.2,59.0
Xintai,China,1073060,35.9094557,117.7620286,-0.1,12.7,45.0,26.8,29.3,30.8,30.0
Padang,Indonesia,1072560,-0.9247587,100.3632561,27.8,6.4,286.0,6.1,6.3,2.2,57.0
Teresina,Brazil,1068550,-5.0874608,-42.8049571,25.6,3.6,323.0,10.8,11.5,6.9,25.0
Saltillo,Mexico,1066100,25.4230425,-100.9927509,12.8,13.8,221.0,9.6,9.6,47.3,20.0
Cancun,Mexico,1065400,21.1527467,-86.8425761,21.0,4.0,27.0,7.7,11.2,0.7,89.0
Antwerp,Belgium,1064870,51.2211097,4.3997081,8.6,7.9,161.0,15.3,20.5,35.1,3.0
Owerri,Nigeria,1063680,5.489736,7.0341973,28.0,7.6,183.0,36.8,53.7,6.0,64.0
Cebu City,Philippines,1061620,10.2934946,123.9018183,27.9,5.8,360.0,2.9,3.6,1.8,64.0
Nampula,Mozambique,1057290,-15.1194063,39.2615886,23.8,2.5,225.0,2.6,2.7,0.6,42.0
Changwon,South Korea,1056980,35.227956,128.6818586,5.5,10.2,67.0,4.3,5.3,17.5,61.0
Chengde,China,1052320,40.9507147,117.9567031,-5.4,3.2,90.0,16.2,17.3,15.7,49.0
San Miguel de Tucuman,Argentina,1051040,-26.8303703,-65.2038133,19.9,1.8,270.0,14.3,14.7,7.2,53.0
Lubango,Angola,1047810,-14.9195617,13.4897509,18.8,8.8,305.0,5.1,10.3,0.7,63.0
Acapulco de Juarez,Mexico,1046710,16.8680495,-99.8940182,28.2,5.5,328.0,15.3,17.1,4.3,83.0
Zhucheng,China,1045070,35.9957253,119.4041185,1.6,11.6,5.0,16.6,18.3,15.0,51.0
Leiyang,China,1043580,26.4255243,112.8545783,15.6,5.9,349.0,83.4,83.6,26.1,73.0
Dehradun,India,1041060,30.3255646,78.0436813,20.4,8.0,172.0,36.1,36.2,0.5,179.0
Dushanbe,Tajikistan,1039900,38.5762709,68.7863573,18.0,13.0,28.0,10.1,13.1,16.4,51.0
Kayseri,Turkey,1037250,38.7219011,35.4873214,3.8,4.7,266.0,13.8,16.0,13.2,30.0
Jos,Nigeria,1035090,9.9175125,8.8979401,24.0,13.6,127.0,78.9,267.3,3.5,78.0
Misratah,Libya,1034680,32.3745923,15.0905803,15.2,3.8,221.0,10.4,14.9,12.0,40.0
San Pedro Sula,Honduras,1034200,15.5053535,-88.0250839,21.4,3.7,281.0,6.5,7.1,9.2,24.0
Sylhet,Bangladesh,1032980,24.89922,91.8685271,26.5,3.6,84.0,9.3,9.5,0.9,143.0
Laiwu,China,1031440,36.2150252,117.6698329,0.1,9.4,32.0,28.7,31.3,35.0,27.0
Songkhla,Thailand,1030550,7.1973429,100.593205,27.8,8.6,68.0,3.7,5.0,0.9,76.0
Fort Worth,United States,1029221,32.753177,-97.3327459,9.8,5.4,70.0,5.9,6.0,14.2,46.0
Nonthaburi,Thailand,1026390,13.8428962,100.4937886,28.6,5.1,4.0,20.0,20.3,4.7,159.0
Rotterdam,Netherlands,1026250,51.9244424,4.47775,8.4,11.9,155.0,15.6,18.3,37.4,8.0
Jiujiang,China,1024430,29.6653828,115.9474861,13.1,20.6,57.0,33.5,34.1,27.6,36.0
Valparaiso,Chile,1024430,-33.0458456,-71.6196749,16.6,10.2,190.0,8.4,9.1,7.3,19.0
Jacksonville,United States,1024310,30.3321838,-81.655651,4.5,5.6,297.0,9.1,9.4,14.5,53.0
Bordeaux,France,1018070,44.841225,-0.5800364,9.2,10.5,153.0,12.3,15.5,18.8,19.0
Najaf,Iraq,1017660,32.0010227,44.3299926,13.8,3.1,126.0,13.5,18.2,5.3,59.0
Krasnodar,Russia,1017530,45.0351532,38.9772396,5.8,7.3,189.0,9.7,11.5,17.0,36.0
Agadir,Morocco,1017030,30.4205162,-9.5838532,13.6,4.7,94.0,8.3,15.4,7.4,62.0
Morelia,Mexico,1016230,19.7027116,-101.1923818,12.2,6.8,267.0,26.5,26.7,25.4,44.0
Bangui,Central African Republic,1016150,4.3635118,18.5835913,28.9,4.8,207.0,24.7,31.5,1.3,56.0
Guigang,China,1011500,23.1144539,109.5946193,21.5,4.1,105.0,46.1,46.3,15.0,84.0
Taiz,Yemen,1009450,13.5752242,44.0215268,25.5,11.2,264.0,37.5,259.8,0.2,92.0
Mudanjiang,China,1009260,44.5790216,129.6113766,-13.0,3.6,225.0,14.9,15.9,18.3,49.0
Hengshui,China,1008750,37.7364305,115.6677229,-0.5,4.8,48.0,19.6,21.8,19.6,42.0
Rajshahi,Bangladesh,1007020,24.3715513,88.5921038,24.6,3.9,34.0,28.6,29.7,0.0,164.0
Odesa,Ukraine,1006700,46.4843023,30.7322878,8.3,13.0,316.0,12.3,14.7,8.1,32.0
Xinyu,China,1003580,27.8214162,114.9124505,15.4,7.3,81.0,66.1,66.6,38.2,53.0
Linfen,China,1002710,36.0833056,111.5083202,-0.8,5.6,165.0,35.5,35.7,17.8,59.0
Zhangzhou,China,1002450,24.5164639,117.6424895,21.2,10.0,77.0,27.0,28.1,13.7,91.0
Tianmen,China,1000720,30.6659683,113.1605599,7.9,16.9,358.0,21.9,22.2,13.4,50.0
Austin,United States,1000511,30.2711286,-97.7436995,10.1,9.6,56.0,9.5,9.7,12.1,49.0
